2020-03-19 20:34:33 status unpacked libcom-err2:amd64 1.44.4-2
2020-03-19 20:34:33 status unpacked libcom-err2:amd64 1.44.4-2
2020-03-19 20:34:33 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.1
2020-03-19 20:34:33 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.1
2020-03-19 20:34:33 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.1
2020-03-19 20:34:33 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.1
2020-03-19 20:34:33 install libdebconfclient0:amd64 <none> 0.244ubuntu1
2020-03-19 20:34:33 status half-installed libdebconfclient0:amd64 0.244ubuntu1
2020-03-19 20:34:33 status unpacked libdebconfclient0:amd64 0.244ubuntu1
2020-03-19 20:34:33 status unpacked libdebconfclient0:amd64 0.244ubuntu1
2020-03-19 20:34:33 install libext2fs2:amd64 <none> 1.44.4-2
2020-03-19 20:34:33 status half-installed libext2fs2:amd64 1.44.4-2
2020-03-19 20:34:33 status unpacked libext2fs2:amd64 1.44.4-2
2020-03-19 20:34:33 status unpacked libext2fs2:amd64 1.44.4-2
2020-03-19 20:34:33 install libfdisk1:amd64 <none> 2.32-0.1ubuntu2
2020-03-19 20:34:33 status half-installed libfdisk1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:33 status unpacked libfdisk1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:33 status unpacked libfdisk1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:33 install libgcc1:amd64 <none> 1:8.2.0-7ubuntu1
2020-03-19 20:34:33 status half-installed libgcc1:amd64 1:8.2.0-7ubuntu1
2020-03-19 20:34:33 status unpacked libgcc1:amd64 1:8.2.0-7ubuntu1
2020-03-19 20:34:33 status unpacked libgcc1:amd64 1:8.2.0-7ubuntu1
2020-03-19 20:34:33 install libgcrypt20:amd64 <none> 1.8.3-1ubuntu1
2020-03-19 20:34:33 status half-installed libgcrypt20:amd64 1.8.3-1ubuntu1
2020-03-19 20:34:33 status unpacked libgcrypt20:amd64 1.8.3-1ubuntu1
2020-03-19 20:34:33 status unpacked libgcrypt20:amd64 1.8.3-1ubuntu1
